target_id	length	eff_length	est_counts	tpm
ENSMUST00000103276	566	419.86	0	0
ENSMUST00000103663	360	215.446	0	0
ENSMUST00000103664	342	197.878	0	0
ENSMUST00000103277	335	191.074	0	0
ENSMUST00000195087	381	236.111	0	0
ENSMUST00000103278	290	148.258	0	0
ENSMUST00000193997	347	202.697	0	0
ENSMUST00000103279	344	199.778	0	0
ENSMUST00000103638	377	232.111	1	0.155065
ENSMUST00000103641	380	235.111	0	0
ENSMUST00000184687	275	134.299	0	0
ENSMUST00000103667	421	275.497	0	0
ENSMUST00000189634	651	504.814	0	0
ENSMUST00000056590	650	503.814	0	0
ENSMUST00000182769	727	580.814	0	0
ENSMUST00000088673	531	384.9	0	0
ENSMUST00000195764	4615	4468.81	85.1512	0.685816
ENSMUST00000174625	3389	3242.81	86.0836	0.95545
ENSMUST00000174382	1699	1552.81	87.658	2.0318
ENSMUST00000166442	1481	1334.81	0	0
ENSMUST00000182198	1265	1118.81	0	0
ENSMUST00000172762	3466	3319.81	0	0
ENSMUST00000194951	1194	1047.81	0	0
ENSMUST00000195589	2272	2125.81	2.8668	0.0485379
ENSMUST00000184581	707	560.814	0	0
ENSMUST00000112076	2277	2130.81	0.134268	0.00226797
ENSMUST00000179386	1050	903.814	0	0
ENSMUST00000173420	1257	1110.81	0	0
ENSMUST00000194248	936	789.814	0	0
ENSMUST00000179719	1296	1149.81	109.248	3.41977
ENSMUST00000106393	843	696.814	390.492	20.17
ENSMUST00000132882	741	594.814	40.2596	2.43612
ENSMUST00000006562	910	763.814	0	0
ENSMUST00000100960	2692	2545.81	67.3518	0.952208
ENSMUST00000171587	1329	1182.81	0.000625138	1.90226e-05
ENSMUST00000174854	1156	1009.81	74.8385	2.66743
ENSMUST00000172979	998	851.814	4.86721	0.205658
ENSMUST00000116010	172	50.2471	0.343812	0.246275
ENSMUST00000190447	2477	2330.81	31.8496	0.491819
ENSMUST00000188251	2421	2274.81	882.884	13.9691
ENSMUST00000190097	649	502.814	92.7934	6.64232
ENSMUST00000191103	537	390.9	15.2722	1.4062
ENSMUST00000024112	2417	2270.81	0	0
ENSMUST00000174177	915	768.814	0	0
ENSMUST00000174248	519	372.9	0	0
ENSMUST00000173567	1252	1105.81	3	0.0976447
ENSMUST00000122808	3794	3647.81	0	0
ENSMUST00000077820	1581	1434.81	1.19457	0.0299659
ENSMUST00000135748	788	641.814	0	0
ENSMUST00000134898	462	316.002	0	0
ENSMUST00000147728	557	410.86	0	0
ENSMUST00000077582	784	637.814	0	0
ENSMUST00000184850	1072	925.814	1.00537	0.039085
ENSMUST00000173080	1138	991.814	0	0
ENSMUST00000185167	836	689.814	0	0
ENSMUST00000195838	1105	958.814	0	0
ENSMUST00000194244	862	715.814	0	0
ENSMUST00000185087	1064	917.814	0	0
ENSMUST00000195833	829	682.814	0	0
ENSMUST00000184502	862	715.814	0	0
ENSMUST00000183560	316	172.792	0	0
ENSMUST00000183999	358	213.467	0	0
ENSMUST00000192532	995	848.814	0	0
ENSMUST00000182725	558	411.86	53.5645	4.68098
ENSMUST00000183291	1837	1690.81	542.269	11.5433
ENSMUST00000086377	1832	1685.81	0	0
ENSMUST00000173185	1458	1311.81	4.32079	0.11855
ENSMUST00000103299	692	545.814	1	0.0659424
ENSMUST00000192856	737	590.814	0	0
ENSMUST00000103291	512	365.9	0	0
ENSMUST00000103682	51	9.78378	0	0
ENSMUST00000103697	63	11.211	0	0
ENSMUST00000103706	65	11.1667	0	0
ENSMUST00000103724	63	11.211	0	0
ENSMUST00000103737	66	11.5286	0	0
ENSMUST00000103704	62	11.3571	0	0
ENSMUST00000103721	58	10.1892	0	0
ENSMUST00000103702	61	11.1538	0	0
ENSMUST00000179426	60	10.382	0	0
ENSMUST00000103725	61	11.1538	0	0
ENSMUST00000103726	60	10.382	0	0
ENSMUST00000103730	59	10.3086	0	0
ENSMUST00000103738	66	11.5286	0	0
ENSMUST00000103698	61	11.1538	0	0
ENSMUST00000103713	65	11.1667	0	0
ENSMUST00000180262	60	10.382	0	0
ENSMUST00000103719	60	10.382	0	0
ENSMUST00000103732	37	8.44444	0	0
ENSMUST00000103406	43	8.94118	0	0
ENSMUST00000167781	54	9.92	0	0
ENSMUST00000103699	57	10.1493	0	0
ENSMUST00000103709	66	11.5286	0	0
ENSMUST00000103409	42	9	0	0
ENSMUST00000103688	65	11.1667	0	0
ENSMUST00000103712	60	10.382	0	0
ENSMUST00000103728	57	10.1493	0	0
ENSMUST00000103734	62	11.3571	0	0
ENSMUST00000103735	62	11.3571	0	0
ENSMUST00000103686	64	11.1833	0	0
ENSMUST00000165071	54	9.92	0	0
ENSMUST00000103408	38	8.6	0	0
ENSMUST00000103695	60	10.382	0	0
ENSMUST00000103700	64	11.1833	0	0
ENSMUST00000103717	63	11.211	0	0
ENSMUST00000103690	66	11.5286	0	0
ENSMUST00000103691	66	11.5286	0	0
ENSMUST00000103694	59	10.3086	0	0
ENSMUST00000103722	61	11.1538	0	0
ENSMUST00000103407	36	7.44444	0	0
ENSMUST00000103696	63	11.211	0	0
ENSMUST00000103718	60	10.382	0	0
ENSMUST00000103727	33	12.25	0	0
ENSMUST00000165025	72	12.3423	0	0
ENSMUST00000170585	63	11.211	0	0
ENSMUST00000103692	43	8.94118	0	0
ENSMUST00000103710	57	10.1493	0	0
ENSMUST00000103705	60	10.382	0	0
ENSMUST00000103736	63	11.211	0	0
ENSMUST00000103687	63	11.211	0	0
ENSMUST00000103693	63	11.211	0	0
ENSMUST00000103703	63	11.211	0	0
ENSMUST00000103708	57	10.1493	0	0
ENSMUST00000103720	57	10.1493	0	0
ENSMUST00000103731	58	10.1892	0	0
ENSMUST00000103733	59	10.3086	0	0
ENSMUST00000103405	38	8.6	0	0
ENSMUST00000103562	60	10.382	0	0
ENSMUST00000103716	57	10.1493	0	0
ENSMUST00000103729	58	10.1892	0	0
ENSMUST00000103739	27	17	0	0
ENSMUST00000103711	59	10.3086	0	0
ENSMUST00000103714	59	10.3086	0	0
ENSMUST00000103701	55	10.0182	0	0
ENSMUST00000103707	58	10.1892	0	0
ENSMUST00000184430	61	11.1538	0	0
ENSMUST00000103683	59	10.3086	0	0
ENSMUST00000103689	63	11.211	0	0
ENSMUST00000167829	63	11.211	0	0
ENSMUST00000103715	60	10.382	0	0
ENSMUST00000103723	66	11.5286	0	0
ENSMUST00000103427	54	9.92	0	0
ENSMUST00000103428	48	9.35714	0	0
ENSMUST00000192746	48	9.35714	0	0
ENSMUST00000103429	54	9.92	0	0
ENSMUST00000103430	53	10.1364	1	3.55081
ENSMUST00000103740	413	267.688	14	1.88238
ENSMUST00000103410	323	179.614	0	0
ENSMUST00000103558	518	371.9	0	0
ENSMUST00000103561	503	356.935	0	0
ENSMUST00000179181	572	425.86	0	0
ENSMUST00000103566	644	497.814	0	0
ENSMUST00000177715	1698	1551.81	0	0
ENSMUST00000103426	1493	1346.81	25	0.668101
ENSMUST00000194304	2482	2335.81	1	0.0154089
ENSMUST00000103420	1076	929.814	0	0
ENSMUST00000103423	1082	935.814	0	0
ENSMUST00000194162	1806	1659.81	0	0
ENSMUST00000192250	802	655.814	0	0
ENSMUST00000194738	2540	2393.81	0	0
ENSMUST00000178282	1100	953.814	0	0
ENSMUST00000137336	1367	1220.81	0	0
ENSMUST00000195192	1111	964.814	1	0.0373049
ENSMUST00000103416	1212	1065.81	0	0
ENSMUST00000192188	1879	1732.81	0	0
ENSMUST00000103418	1114	967.814	0	0
ENSMUST00000103526	415	269.688	0	0
ENSMUST00000194071	351	206.614	0	0
ENSMUST00000103527	294	152.028	0	0
ENSMUST00000191803	395	249.843	0	0
ENSMUST00000103494	294	152.028	0	0
ENSMUST00000103495	377	232.111	0	0
ENSMUST00000194968	351	206.614	0	0
ENSMUST00000103506	348	203.676	0	0
ENSMUST00000103446	353	208.573	0	0
ENSMUST00000194581	378	233.111	0	0
ENSMUST00000163467	302	159.395	0	0
ENSMUST00000103451	362	217.359	0	0
ENSMUST00000195381	353	208.573	0	0
ENSMUST00000103450	353	208.573	0	0
ENSMUST00000180013	369	224.248	0	0
ENSMUST00000103468	461	315.002	0	0
ENSMUST00000103469	399	253.843	0	0
ENSMUST00000103483	394	248.843	0	0
ENSMUST00000195641	353	208.573	0	0
ENSMUST00000103470	299	156.604	0	0
ENSMUST00000103496	388	242.991	0	0
ENSMUST00000192591	358	213.467	0	0
ENSMUST00000179657	350	205.635	0	0
ENSMUST00000103529	351	206.614	0	0
ENSMUST00000195884	351	206.614	0	0
ENSMUST00000103471	294	152.028	0	0
ENSMUST00000125484	359	214.467	0	0
ENSMUST00000183954	302	159.395	0	0
ENSMUST00000103485	353	208.573	0	0
ENSMUST00000191862	351	206.614	0	0
ENSMUST00000103513	348	203.676	0	0
ENSMUST00000103472	351	206.614	0	0
ENSMUST00000103486	356	211.489	0	0
ENSMUST00000191918	357	212.489	0	0
ENSMUST00000177949	297	154.794	0	0
ENSMUST00000193936	357	212.489	0	0
ENSMUST00000179796	297	154.794	0	0
ENSMUST00000192911	350	205.635	0	0
ENSMUST00000103455	342	197.878	0	0
ENSMUST00000103489	357	212.489	1	0.169385
ENSMUST00000193397	357	212.489	0	0
ENSMUST00000103456	355	210.51	0	0
ENSMUST00000192877	361	216.424	0	0
ENSMUST00000103457	350	205.635	0	0
ENSMUST00000193950	351	206.614	0	0
ENSMUST00000103514	348	203.676	0	0
ENSMUST00000193652	380	235.111	0	0
ENSMUST00000103458	350	205.635	0	0
ENSMUST00000195468	353	208.573	0	0
ENSMUST00000103442	350	205.635	0	0
ENSMUST00000103447	350	205.635	0	0
ENSMUST00000103501	294	152.028	0	0
ENSMUST00000103473	351	206.614	0	0
ENSMUST00000103461	361	216.424	0	0
ENSMUST00000103512	388	242.991	0	0
ENSMUST00000103443	352	207.573	0	0
ENSMUST00000103515	351	206.614	0	0
ENSMUST00000195037	359	214.467	0	0
ENSMUST00000195337	354	209.531	0	0
ENSMUST00000103497	351	206.614	0	0
ENSMUST00000192264	413	267.688	0	0
ENSMUST00000103452	350	205.635	0	0
ENSMUST00000195706	351	206.614	0	0
ENSMUST00000103475	333	189.151	0	0
ENSMUST00000195359	351	206.614	0	0
ENSMUST00000103530	348	203.676	0	0
ENSMUST00000193893	351	206.614	0	0
ENSMUST00000103498	348	203.676	0	0
ENSMUST00000103492	359	214.467	0	0
ENSMUST00000103459	405	259.767	0	0
ENSMUST00000191801	351	206.614	0	0
ENSMUST00000195469	386	240.991	0	0
ENSMUST00000109711	215	82.5511	0	0
ENSMUST00000103500	294	152.028	0	0
ENSMUST00000194350	351	206.614	0	0
ENSMUST00000103504	306	163.167	0	0
ENSMUST00000191868	351	206.614	0	0
ENSMUST00000103516	294	152.028	0	0
ENSMUST00000195417	351	206.614	0	0
ENSMUST00000103517	294	152.028	0	0
ENSMUST00000103444	425	279.358	0	0
ENSMUST00000103448	418	272.607	0	0
ENSMUST00000103474	363	218.315	0	0
ENSMUST00000193133	357	212.489	0	0
ENSMUST00000103462	354	209.531	0	0
ENSMUST00000103493	351	206.614	0	0
ENSMUST00000194865	397	251.843	0	0
ENSMUST00000103518	294	152.028	0	0
ENSMUST00000192298	351	206.614	0	0
ENSMUST00000178949	294	152.028	0	0
ENSMUST00000192724	351	206.614	0	0
ENSMUST00000103519	294	152.028	0	0
ENSMUST00000193855	405	259.767	0	0
ENSMUST00000103505	348	203.676	0	0
ENSMUST00000194257	358	213.467	0	0
ENSMUST00000103521	390	244.917	0	0
ENSMUST00000192077	351	206.614	0	0
ENSMUST00000178229	347	202.697	0	0
ENSMUST00000103531	351	206.614	0	0
ENSMUST00000103503	349	204.676	0	0
ENSMUST00000171270	90	14.0602	0	0
ENSMUST00000192554	351	206.614	0	0
ENSMUST00000103522	348	203.676	0	0
ENSMUST00000103523	351	206.614	0	0
ENSMUST00000195707	480	333.97	0	0
ENSMUST00000103449	347	202.697	0	0
ENSMUST00000193145	354	209.531	0	0
ENSMUST00000103524	301	158.492	0	0
ENSMUST00000103525	377	232.111	0	0
ENSMUST00000103463	351	206.614	0	0
ENSMUST00000103464	414	268.688	0	0
ENSMUST00000103478	350	205.635	0	0
ENSMUST00000103466	353	208.573	0	0
ENSMUST00000103467	351	206.614	0	0
ENSMUST00000103507	351	206.614	0	0
ENSMUST00000194625	351	206.614	0	0
ENSMUST00000191861	351	206.614	0	0
ENSMUST00000103509	294	152.028	0	0
ENSMUST00000103510	351	206.614	0	0
ENSMUST00000195735	351	206.614	0	0
ENSMUST00000103511	294	152.028	0	0
ENSMUST00000191693	350	205.635	0	0
ENSMUST00000103476	296	153.888	0	0
ENSMUST00000192499	437	291.245	0	0
ENSMUST00000103477	360	215.446	0	0
ENSMUST00000193408	353	208.573	0	0
ENSMUST00000195619	353	208.573	0	0
ENSMUST00000103479	299	156.604	0	0
ENSMUST00000195124	350	205.635	0	0
ENSMUST00000103481	342	197.878	0	0
ENSMUST00000194159	351	206.614	0	0
ENSMUST00000103482	294	152.028	0	0
ENSMUST00000103398	359	214.467	0	0
ENSMUST00000103395	287	145.468	0	0
ENSMUST00000103597	276	135.243	0	0
ENSMUST00000103399	299	156.604	0	0
ENSMUST00000177578	340	195.977	0	0
ENSMUST00000170041	270	129.828	0	0
ENSMUST00000103404	359	214.467	0	0
ENSMUST00000103394	347	202.697	0	0
ENSMUST00000103397	356	211.489	0	0
ENSMUST00000103532	351	206.614	0	0
ENSMUST00000103573	338	193.997	0	0
ENSMUST00000103543	348	203.676	0	0
ENSMUST00000103599	276	135.243	0	0
ENSMUST00000178824	337	193.036	0	0
ENSMUST00000103538	294	152.028	0	0
ENSMUST00000103559	350	205.635	0	0
ENSMUST00000103606	353	208.573	0	0
ENSMUST00000103607	264	124.354	0	0
ENSMUST00000177705	340	195.977	0	0
ENSMUST00000103305	362	217.359	0	0
ENSMUST00000169155	294	152.028	0	0
ENSMUST00000103306	362	217.359	0	0
ENSMUST00000103363	352	207.573	0	0
ENSMUST00000103556	293	151.121	0	0
ENSMUST00000177703	342	197.878	0	0
ENSMUST00000103373	344	199.778	0	0
ENSMUST00000103752	348	203.676	0	0
ENSMUST00000103321	359	214.467	0	0
ENSMUST00000179583	342	197.878	0	0
ENSMUST00000103326	359	214.467	0	0
ENSMUST00000183936	344	199.778	0	0
ENSMUST00000103332	351	206.614	0	0
ENSMUST00000103358	286	144.512	0	0
ENSMUST00000103341	346	201.717	0	0
ENSMUST00000168310	346	201.717	0	0
ENSMUST00000103379	344	199.778	0	0
ENSMUST00000103685	345	200.778	0	0
ENSMUST00000103396	359	214.467	0	0
ENSMUST00000103318	364	219.315	0	0
ENSMUST00000103542	303	160.331	0	0
ENSMUST00000103403	359	214.467	0	0
ENSMUST00000103544	351	206.614	0	0
ENSMUST00000103324	347	202.697	0	0
ENSMUST00000103547	351	206.614	0	0
ENSMUST00000103367	347	202.697	0	0
ENSMUST00000103353	284	142.702	0	0
ENSMUST00000103387	362	217.359	0	0
ENSMUST00000103608	328	184.395	0	0
ENSMUST00000103390	370	225.226	0	0
ENSMUST00000163670	294	152.028	0	0
ENSMUST00000103622	264	124.354	0	0
ENSMUST00000103302	362	217.359	0	0
ENSMUST00000103570	343	198.838	0	0
ENSMUST00000103307	350	205.635	0	0
ENSMUST00000167409	307	164.118	0	0
ENSMUST00000103624	348	203.676	0	0
ENSMUST00000166255	278	137.131	0	0
ENSMUST00000103317	359	214.467	0	0
ENSMUST00000103635	280	138.976	0	0
ENSMUST00000103539	348	203.676	0	0
ENSMUST00000103381	300	157.54	0	0
ENSMUST00000103383	347	202.697	0	0
ENSMUST00000103654	340	195.977	0	0
ENSMUST00000103549	294	152.028	0	0
ENSMUST00000103391	347	202.697	0	0
ENSMUST00000103401	359	214.467	0	0
ENSMUST00000103402	359	214.467	0	0
ENSMUST00000103568	325	181.505	0	0
ENSMUST00000164511	270	129.828	0	0
ENSMUST00000103611	338	193.997	0	0
ENSMUST00000103632	333	189.151	0	0
ENSMUST00000103634	267	127.12	0	0
ENSMUST00000178252	340	195.977	0	0
ENSMUST00000178650	317	173.775	0	0
ENSMUST00000103633	353	208.573	0	0
ENSMUST00000103677	345	200.778	0	0
ENSMUST00000103540	315	171.88	0	0
ENSMUST00000103585	343	198.838	0	0
ENSMUST00000103534	351	206.614	0	0
ENSMUST00000103303	362	217.359	0	0
ENSMUST00000103315	350	205.635	0	0
ENSMUST00000103345	356	211.489	0	0
ENSMUST00000103593	341	196.937	0	0
ENSMUST00000103301	359	214.467	0	0
ENSMUST00000103609	341	196.937	0	0
ENSMUST00000103309	341	196.937	0	0
ENSMUST00000103308	350	205.635	0	0
ENSMUST00000103618	331	187.208	0	0
ENSMUST00000103314	359	214.467	0	0
ENSMUST00000103316	353	208.573	0	0
ENSMUST00000103320	353	208.573	0	0
ENSMUST00000103335	335	191.074	0	0
ENSMUST00000103330	347	202.697	0	0
ENSMUST00000103337	340	195.977	0	0
ENSMUST00000103393	347	202.697	0	0
ENSMUST00000103626	340	195.977	0	0
ENSMUST00000103592	331	187.208	0	0
ENSMUST00000103619	341	196.937	0	0
ENSMUST00000103623	276	135.243	0	0
ENSMUST00000103334	326	182.487	0	0
ENSMUST00000103339	347	202.697	0	0
ENSMUST00000103548	351	206.614	0	0
ENSMUST00000179607	317	173.775	0	0
ENSMUST00000103553	350	205.635	0	0
ENSMUST00000103313	353	208.573	0	0
ENSMUST00000103354	352	207.573	0	0
ENSMUST00000103364	347	202.697	0	0
ENSMUST00000103376	362	217.359	0	0
ENSMUST00000180097	337	193.036	0	0
ENSMUST00000103584	344	199.778	0	0
ENSMUST00000103536	336	192.055	0	0
ENSMUST00000103537	351	206.614	0	0
ENSMUST00000103357	350	205.635	0	0
ENSMUST00000170551	294	152.028	0	0
ENSMUST00000103598	348	203.676	0	0
ENSMUST00000103587	344	199.778	0	0
ENSMUST00000103605	334	190.113	0	0
ENSMUST00000103590	349	204.676	0	0
ENSMUST00000103535	351	206.614	0	0
ENSMUST00000103541	351	206.614	0	0
ENSMUST00000164041	120	20.8663	0	0
ENSMUST00000095364	294	152.028	0	0
ENSMUST00000103533	301	158.492	0	0
ENSMUST00000103551	351	206.614	0	0
ENSMUST00000103554	414	268.688	0	0
ENSMUST00000103310	353	208.573	0	0
ENSMUST00000103312	287	145.468	0	0
ENSMUST00000103322	364	219.315	0	0
ENSMUST00000103348	348	203.676	0	0
ENSMUST00000103368	347	202.697	0	0
ENSMUST00000103371	344	199.778	0	0
ENSMUST00000103388	347	202.697	0	0
ENSMUST00000103400	359	214.467	0	0
ENSMUST00000167638	352	207.573	0	0
ENSMUST00000103327	344	199.778	0	0
ENSMUST00000103356	358	213.467	0	0
ENSMUST00000103377	347	202.697	0	0
ENSMUST00000103569	343	198.838	0	0
ENSMUST00000179701	343	198.838	0	0
ENSMUST00000103655	331	187.208	0	0
ENSMUST00000103678	345	200.778	0	0
ENSMUST00000103555	403	257.767	0	0
ENSMUST00000103564	347	202.697	0	0
ENSMUST00000103571	338	193.997	0	0
ENSMUST00000103600	331	187.208	0	0
ENSMUST00000103304	362	217.359	0	0
ENSMUST00000103612	343	198.838	0	0
ENSMUST00000103319	358	213.467	0	0
ENSMUST00000103627	331	187.208	0	0
ENSMUST00000103325	350	205.635	0	0
ENSMUST00000103652	360	215.446	0	0
ENSMUST00000103342	352	207.573	0	0
ENSMUST00000103369	347	202.697	0	0
ENSMUST00000103552	351	206.614	0	0
ENSMUST00000103596	264	124.354	0	0
ENSMUST00000103650	344	199.778	0	0
ENSMUST00000103323	348	203.676	0	0
ENSMUST00000103329	287	145.468	0	0
ENSMUST00000103346	352	207.573	0	0
ENSMUST00000103366	347	202.697	0	0
ENSMUST00000103372	347	202.697	0	0
ENSMUST00000103389	305	162.184	0	0
ENSMUST00000103613	287	145.468	0	0
ENSMUST00000179997	343	198.838	0	0
ENSMUST00000103583	343	198.838	0	0
ENSMUST00000103653	349	204.676	0	0
ENSMUST00000103751	366	221.293	0	0
ENSMUST00000166645	302	159.395	0	0
ENSMUST00000166362	123	22.1047	0	0
ENSMUST00000103328	347	202.697	0	0
ENSMUST00000103343	356	211.489	0	0
ENSMUST00000103340	290	148.258	0	0
ENSMUST00000103344	358	213.467	0	0
ENSMUST00000103359	352	207.573	0	0
ENSMUST00000103746	351	206.614	0	0
ENSMUST00000114212	330	186.245	0	0
ENSMUST00000103351	286	144.512	0	0
ENSMUST00000103333	345	200.778	0	0
ENSMUST00000166380	292	150.167	0	0
ENSMUST00000103380	305	162.184	0	0
ENSMUST00000103336	362	217.359	0	0
ENSMUST00000103350	352	207.573	0	0
ENSMUST00000103355	292	150.167	0	0
ENSMUST00000103392	362	217.359	0	0
ENSMUST00000103384	365	220.293	0	0
ENSMUST00000103625	276	135.243	0	0
ENSMUST00000103651	327	183.395	0	0
ENSMUST00000103679	345	200.778	2	0.358529
ENSMUST00000103563	350	205.635	0	0
ENSMUST00000103365	347	202.697	0	0
ENSMUST00000103370	287	145.468	0	0
ENSMUST00000103374	359	214.467	0	0
ENSMUST00000103382	371	226.226	0	0
ENSMUST00000103311	350	205.635	0	0
ENSMUST00000103378	365	220.293	0	0
ENSMUST00000103386	347	202.697	0	0
ENSMUST00000103295	49	9.73333	0	0
ENSMUST00000103296	49	9.73333	0	0
ENSMUST00000103297	49	9.73333	0	0
ENSMUST00000103298	47	9.36	1	3.84533
ENSMUST00000103287	51	9.78378	0	0
ENSMUST00000103288	50	9.84848	0	0
ENSMUST00000103289	53	10.1364	0	0
ENSMUST00000193061	46	10.45	0	0
ENSMUST00000103290	45	9.45	0	0
ENSMUST00000103284	48	9.35714	0	0
ENSMUST00000103293	50	9.84848	0	0
ENSMUST00000103294	51	9.78378	0	0
ENSMUST00000103285	48	9.35714	0	0
ENSMUST00000192366	50	9.84848	0	0
ENSMUST00000103286	54	9.92	0	0
ENSMUST00000082421	1144	997.814	87841	3168.53
ENSMUST00000082419	519	372.9	22213	2144
ENSMUST00000082418	1824	1677.81	66673	1430.26
ENSMUST00000082414	1378	1231.81	69157	2020.69
ENSMUST00000084013	297	154.794	11580	2692.56
ENSMUST00000082411	348	203.676	7771.27	1373.29
ENSMUST00000082409	784	637.814	102519	5785.2
ENSMUST00000082408	681	534.814	100929	6792.37
ENSMUST00000082407	204	73.6871	17721.1	8655.84
ENSMUST00000082405	684	537.814	98679.3	6603.95
ENSMUST00000082402	1545	1398.81	267683	6887.64
ENSMUST00000082396	1038	891.814	39069.9	1576.81
ENSMUST00000082392	957	810.814	60429	2682.46
ENSMUST00000063263	1579	1432.81	0	0
ENSMUST00000008582	2911	2764.81	2	0.026036
ENSMUST00000188142	7524	7377.81	5711.77	27.8646
ENSMUST00000061552	6996	6849.81	4454.7	23.4072
ENSMUST00000186735	372	227.203	10.5191	1.66638
ENSMUST00000185775	1352	1205.81	2.00493	0.0598451
ENSMUST00000043873	493	346.935	0	0
ENSMUST00000076006	598	451.86	0	0
ENSMUST00000114640	2818	2671.81	8.42337e-08	1.13472e-09
ENSMUST00000049255	2782	2635.81	4	0.0546204
ENSMUST00000135754	2932	2785.81	70.6453	0.912727
ENSMUST00000114701	2756	2609.81	1093.33	15.0782
ENSMUST00000114699	1243	1096.81	49.1195	1.61187
ENSMUST00000155348	1841	1694.81	18.9615	0.40268
ENSMUST00000053016	4445	4298.81	2.00137	0.0167567
ENSMUST00000139505	799	652.814	0	0
ENSMUST00000143480	837	690.814	1	0.0521013
ENSMUST00000020647	1142	995.814	82.5571	2.98391
ENSMUST00000123164	471	324.97	0	0
ENSMUST00000105200	924	777.814	0	0
